NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA
Sulfosato;Quimico;0.050;S08;Sulfosato;81591813;NÃO;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;21/07/2019 00:00:00.000000
TIAMETOXAM;Quimico;0.100;T48;TIAMETOXAM;153719234;SIM;Mamão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 5.241, DE 12 DE DEZEMBRO DE 2012;13/12/2012 00:00:00.000000;
TIAMETOXAM;Quimico;0.020;T48;TIAMETOXAM;153719234;SIM;Arroz;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;20/07/2010 00:00:00.000000
Carfentrazona-etílica;Quimico;0.020;C49;Carfentrazona-etílica;128639021;SIM;Mandioca;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE N° 3.753, DE 22 DE SETEMBRO DE 2014;23/09/2014 00:00:00.000000;
CIPRODINIL;Quimico;0.100;C47;CIPRODINIL;121552612;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 636, DE 09 DE MARÇO DE 2007;12/03/2007 00:00:00.000000;25/08/2019 00:00:00.000000
CLOROTALONIL;Quimico;0.100;C18;CLOROTALONIL;1897456;SIM;Berinjela;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;24/05/2009 00:00:00.000000
ACEFATO;Quimico;0.020;A02;ACEFATO;30560191;SIM;Amendoim;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3.083, DE 17 DE NOVEMBRO DE 2016;21/11/2016 00:00:00.000000;
LAMBDA-CIALOTRINA;Quimico;0.200;C63;LAMBDA-CIALOTRINA;91465086;SIM;Pimenta;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 4.969, DE 30 DE DEZEMBRO DE 2014;02/01/2015 00:00:00.000000;
Fluxapiroxade;Quimico;0.030;F68;Fluxapiroxade;907204313;SIM;Alho;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 1215/ANVISA 2016;13/05/2016 00:00:00.000000;
Fluopicolida;Quimico;0.050;F65;Fluopicolida;239110157;SIM;Cebola;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 341/ANVISA 2015;05/02/2015 00:00:00.000000;
CLOTIANIDINA;Quimico;0.010;C64;CLOTIANIDINA;210880925;SIM;Cana-de-açúcar;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.840, DE 06 DE AGOSTO DE 2013;07/08/2013 00:00:00.000000;
FENAMIDONA;Quimico;0.020;F55;FENAMIDONA;161326347;SIM;Melão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 3, DE 9 DE JANEIRO DE 2004;12/01/2004 00:00:00.000000;
Indaziflam;Quimico;0.010;I27;Indaziflam;950782862;SIM;Goiaba;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO 686/ANVISA 2017;20/03/2017 00:00:00.000000;
METOMIL;Quimico;0.100;M17;METOMIL;16752775;SIM;Milheto;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 111, DE 13 DE JANEIRO DE 2017;16/01/2017 00:00:00.000000;
CLETODIM;Quimico;0.500;C32;CLETODIM;99129212;SIM;Inhame;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.185, DE 06 DE AGOSTO DE 2015;07/08/2015 00:00:00.000000;
CIPERMETRINAS (TODOS OS ISÔMEROS);Quimico;0.050;;CIPERMETRINAS (TODOS OS ISÔMEROS);;SIM;Maxixe;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 2.590, DE 18 DE SETEMBRO DE 2019;19/09/2019 00:00:00.000000;
PROFENOFÓS;Quimico;0.100;P13;PROFENOFÓS;41198087;SIM;Pepino;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
PROCIMIDONA;Quimico;2.000;P33;PROCIMIDONA;32809168;SIM;Algodão;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 6, DE 9 DE JANEIRO DE 2004;12/01/2004 00:00:00.000000;
TIRAM;Quimico;0.300;T16;TIRAM;137268;SIM;Soja;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
CAPTANA;Quimico;15.000;C02;CAPTANA;133062;SIM;Tomate;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003;02/09/2003 00:00:00.000000;
BIFENTRINA;Quimico;1.000;B26;BIFENTRINA;82657043;SIM;Pastagens;Limite máximo;Limite Máximo de Resíduo;MILIGRAMA/KILOGRAMA  ;RESOLUÇÃO - RE Nº 1.892, DE 15 DE JULHO DE 2016;18/07/2016 00:00:00.000000;
